supplier_id,supplier_name,country,region,rating,on_time_delivery_rate,avg_delay_days,defect_rate,lead_time_days,capacity_utilization,payment_terms,risk_score
S042,Vienna Auto Systems,Austria,Western Europe,4.3,0.9,2.4,0.012,19,0.71,Net 45,21
S043,Brussels Tech Parts,Belgium,Western Europe,4.2,0.89,2.6,0.013,20,0.72,Net 45,24
S044,Helsinki Components,Finland,Northern Europe,4.4,0.92,2.1,0.011,21,0.7,Net 30,21
S045,Copenhagen AutoParts,Denmark,Northern Europe,4.4,0.92,2.0,0.01,20,0.69,Net 30,19
S046,Oslo EV Systems,Norway,Northern Europe,4.5,0.93,1.9,0.009,22,0.68,Net 30,21
S047,Zurich Micro Systems,Switzerland,Western Europe,4.6,0.95,1.5,0.008,25,0.67,Net 30,21
S048,Tel Aviv Auto Tech,Israel,Middle East,4.1,0.86,3.5,0.019,27,0.76,Net 45,42
S049,Santiago Components,Chile,South America,3.8,0.8,5.2,0.027,30,0.82,Net 45,53
S050,Bogota Parts Supply,Colombia,South America,3.7,0.78,5.8,0.03,33,0.84,Net 60,61
S051,Buenos Aires AutoTech,Argentina,South America,3.6,0.76,7.2,0.034,36,0.87,Net 60,69
S052,Lagos Auto Components,Nigeria,Africa,3.4,0.71,8.6,0.04,42,0.91,Net 60,80
S053,Auckland Precision,New Zealand,Oceania,4.3,0.91,2.2,0.011,22,0.7,Net 45,24
S054,Colombo Tech Parts,Sri Lanka,South Asia,3.8,0.81,5.0,0.026,30,0.82,Net 45,55
S055,Almaty Auto Systems,Kazakhstan,Central Asia,3.7,0.79,6.0,0.03,34,0.85,Net 60,60
S056,Guangzhou AutoChip,China,East Asia,3.6,0.71,9.0,0.041,44,0.92,Net 60,82
S057,Chennai Semi Hub,India,South Asia,4.4,0.91,2.2,0.013,19,0.74,Net 45,21
S058,Osaka Precision Works,Japan,East Asia,4.5,0.93,1.6,0.009,27,0.71,Net 30,27
S059,Detroit AutoElec,USA,North America,4.3,0.92,1.9,0.012,24,0.7,Net 30,26
S060,Hanoi Connector Tech,Vietnam,SEA,3.9,0.83,4.5,0.022,30,0.78,Net 45,48
